name,email,county,phone,address,website
"Matthews Hutton & Warren, CPAs",jon@mhwcpa.com,Butte,(530) 877-6793,"1530 Humboldt Rd Ste. 2, Chico, CA 95928",https://www.mhwcpa.com/
"Matthews Hutton & Warren, CPAs",oroville@mhwcpa.com,Butte,(530) 877-6793,"1530 Humboldt Rd Ste. 2, Chico, CA 95928",https://www.mhwcpa.com/
Ruiz Financial Services,documents@ruizfinancial.com,Butte,(530) 846-5273,"996 Spruce St Ste B, Gridley, CA 95948",http://ruizfinancial.com/
Ruiz Financial Services,gruiz1@ruizfinancial.com,Butte,(530) 846-5273,"996 Spruce St Ste B, Gridley, CA 95948",http://ruizfinancial.com/
IPM Chico Property Management,info@ipmchico.com,Butte,(530) 924-4365,"125 E 3rd St #200, Chico, CA 95928",https://www.ipmchico.com/
Blue Oak Property Management Inc,team@blueoakchico.com,Butte,(530) 636-2627,"2889 Cohasset Rd ste 5, Chico, CA 95973",http://www.blueoakchico.com/
Hamman Real Estate,hfhamman@att.net,Butte,(530) 846-2567,"1791 CA-99, Gridley, CA 95948",http://www.hammanrealestate.net/
Hamman Real Estate,koryhamman@yahoo.com,Butte,(530) 846-2567,"1791 CA-99, Gridley, CA 95948",http://www.hammanrealestate.net/
Hamman Real Estate,larrydhamman@yahoo.com,Butte,(530) 846-2567,"1791 CA-99, Gridley, CA 95948",http://www.hammanrealestate.net/
Law Offices of Sergio C. Garcia,scg@scgplc.law,Butte,(530) 899-7373,"452 Manzanita Ave, Chico, CA 95926",http://www.scglawcorp.com/
Stewart Mobile Notary and Loan Signing Services,sizzilinstew88@hotmail.com,Butte,(801) 735-9701,"620 Little Ave, Gridley, CA 95948",https://stewartsignstampandsend.com/
Scott a Gailey CPA Inc,info@scottgaileycpa.com,Butte,(530) 345-1040,"669 Palmetto Ave, Chico, CA 95926",http://www.scottgaileycpa.com/
Bean Counting Firm Inc,info@beancountingfirm.com,Butte,(530) 893-0859,"383 Connors Ct STE E, Chico, CA 95926",http://www.beancountingfirm.com/
Charles Tracy Consulting and Tax Service,charlesmtracy59@gmail.com,Butte,(530) 282-4874,"246 Canyon Highlands Dr, Oroville, CA 95966",https://charlestracytaxservice.com/
Oroville Tax,info@orovilletax.com,Butte,(530) 533-4307,"2200 5th Ave, Oroville, CA 95965",http://orovilletax.com/
Oroville Tax,garet@orovilletax.com,Butte,(530) 533-4307,"2200 5th Ave, Oroville, CA 95965",http://orovilletax.com/
Oroville Tax,john@orovilletax.com,Butte,(530) 533-4307,"2200 5th Ave, Oroville, CA 95965",http://orovilletax.com/
Sierra North Valley Realtors,alisha.snvr@gmail.com,Butte,(530) 893-1301,"1160 E 1st Ave, Chico, CA 95926",http://www.sierranorthvalleyrealtors.com/
Sierra North Valley Realtors,maria.snvr@gmail.com,Butte,(530) 893-1301,"1160 E 1st Ave, Chico, CA 95926",http://www.sierranorthvalleyrealtors.com/
Sierra North Valley Realtors,alisha@snvrealtors.com,Butte,(530) 893-1301,"1160 E 1st Ave, Chico, CA 95926",http://www.sierranorthvalleyrealtors.com/
Barroso Real Estate Team,inquiry.bre@gmail.com,Butte,(530) 433-4231,"168 E 3rd Ave, Chico, CA 95926",https://www.barrosorealestate.com/
Barroso Real Estate Team,john@johnbarroso.com,Butte,(530) 433-4231,"168 E 3rd Ave, Chico, CA 95926",https://www.barrosorealestate.com/
Barroso Real Estate Team,angela@parkwayrec.com,Butte,(530) 433-4231,"168 E 3rd Ave, Chico, CA 95926",https://www.barrosorealestate.com/
American Homes And Land,chari@charibullock.com,Butte,(530) 413-0041,"5580 Almond St, Paradise, CA 95969",http://www.charibullock.com/
"Platinum Partners Real Estate Team | Chico, CA Realtor",marisa@platinumpartnersteam.com,Butte,(530) 625-7135,"1209 Esplanade Suite #3, Chico, CA 95926",https://www.platinumpartnersrealestate.com/
"Troy Davis Real Estate, Inc. DBA Action Realty",Justin@TroyDavisRealEstate.com,Butte,(530) 570-1630,"1664 Montgomery St, Oroville, CA 95965",http://www.troydavisrealestate.com/
"Troy Davis Real Estate, Inc. DBA Action Realty",Alvirha@TroyDavisRealEstate.com,Butte,(530) 570-1630,"1664 Montgomery St, Oroville, CA 95965",http://www.troydavisrealestate.com/
"Troy Davis Real Estate, Inc. DBA Action Realty",Kyle@TroyDavisRealEstate.com,Butte,(530) 570-1630,"1664 Montgomery St, Oroville, CA 95965",http://www.troydavisrealestate.com/
"Meester & Company, Inc.",info@meesterco.com,Butte,(530) 895-3111,"555 Main St, Chico, CA 95928",http://www.meesterco.com/
Business Technologies,arlita@biztec.net,Butte,(530) 898-9009,"9039 Esquon Rd, Durham, CA 95938",https://biztec.net/
"Table Mountain Realty, Inc.",LOVEOROVILLE@HOTMAIL.COM,Butte,(530) 534-5376,"3400 Oro Dam Blvd E, Oroville, CA 95966",http://www.tmrcountry.com/
RE/MAX of Chico,KLRW808@kw.com,Butte,(530) 896-9300,"1834 Mangrove Ave STE 10, Chico, CA 95926",http://www.remaxofchico.com/
Liberty Tax,office13687@libertytax.com,Butte,(530) 413-5033,"6848 Skyway suite V, Paradise, CA 95969",https://www.libertytax.com/13687
African American Family & Cultural Center,aafcc@aafcc-oroville.org,Butte,(530) 532-1205,"3300 Spencer Ave, Oroville, CA 95966",https://www.aafcc-oroville.org/
KERUX Financial,jenam@liveabound.com,Butte,(530) 894-2244,"2111 Forest Ave, Chico, CA 95928",https://keruxhq.com/
"Century 21 Select Real Estate, Inc. - Oroville",Info@C21SelectGroup.com,Butte,(530) 712-2070,"2061 Montgomery St, Oroville, CA 95965",https://www.c21selectgroup.com/
Jackson-Haskett Team @ C21 Select Real Estate,Cindy.Haskett@C21SelectGroup.com,Butte,(530) 762-1626,"5428 Skyway, Paradise, CA 95969",https://cindy-haskett.c21selectgroup.com/
Liberty Tax,office17481@libertytax.com,Butte,(530) 353-4090,"675 Oro Dam Blvd E A, Oroville, CA 95965",https://www.libertytax.com/17481
Kathleen L Altenburg CPA,kathleen@kaltenburgcpa.com,Butte,(530) 342-3500,"383 Connors Ct STE H, Chico, CA 95926",http://www.kaltenburgcpa.com/
Kathleen L Altenburg CPA,info@kaltenburgcpa.com,Butte,(530) 342-3500,"383 Connors Ct STE H, Chico, CA 95926",http://www.kaltenburgcpa.com/
"Edward Jones - Financial Advisor: Vincent S Kurland, CFP®|AAMS®",vincent.kurland@edwardjones.com,Butte,(530) 532-4618,"2068 Bird St, Oroville, CA 95965",https://www.edwardjones.com/us-en/financial-advisor/vincent-kurland?y_source=1_ODE5NzkxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
NorCal Financial Group,info@norcalfinancial.com,Butte,(530) 345-1400,"3201 Esplanade # 110, Chico, CA 95973",http://www.norcalfinancial.com/
NorCal Financial Group,rod@norcalfinancial.com,Butte,(530) 345-1400,"3201 Esplanade # 110, Chico, CA 95973",http://www.norcalfinancial.com/
NorCal Financial Group,lawrence.weiss@lpl.com,Butte,(530) 345-1400,"3201 Esplanade # 110, Chico, CA 95973",http://www.norcalfinancial.com/
Sharon Francis Real Estate,SharonFrancisRealEstate@gmail.com,Butte,(530) 353-1153,"3001 Olive Hwy, Oroville, CA 95966",https://www.sharonjfrancisrealestate.com/
Table Mountain Property Management,maintenance@rentoroville.com,Butte,(530) 534-4136,"3400 Oro Dam Blvd E, Oroville, CA 95966",https://www.rentoroville.com/contact-us
Table Mountain Property Management,info@rentoroville.com,Butte,(530) 534-4136,"3400 Oro Dam Blvd E, Oroville, CA 95966",https://www.rentoroville.com/contact-us
Re Merlo General Farming,info@merlofarminggroup.com,Butte,(530) 342-5195,"8014 CA-99, Oroville, CA 95965",http://www.merlofarminggroup.com/
John Burge CPA,johnburge1@gmail.com,Butte,(530) 342-3680,"3 Williamsburg Ln, Chico, CA 95926",https://johnburge1.wixsite.com/johnburgecpa
