name,email,phone,address,county,website
CPA First,info@cpafirst.com,(646) 416-6669,"505 8th Ave #1402, New Ywor, NY 10018",New York,
SWC CPA,contact@swccpallc.com,(347) 707-0662,"368 9th Ave, New Ywor, NY 10001",New York,
Diligent Co,info@diligentco.net,(646) 979-8810,"368 9th Ave 9th Floor, New Ywor, NY 10001",New York,
Gruber Palumberi Raffaele Fried CPAs,info@gprfcpa.com,(212) 586-0800,"7 Pennsylvania Plaza, New Ywor, NY 10001",New York,
RCM Tax Expert & Consultant,info@rcmtaxexpert.com,(212) 414-8216,"412 8th Ave #5w, New Ywor, NY 10001",New York,
"Skody Scot & Company, CPAs",william@skodyscot.com,(212) 967-1100,"520 8th Ave #2200, New Ywor, NY 10018",New York,
Marcum Asia CPAs LLP,info@marcumasia.com,(646) 442-4845,"7 Pennsylvania Plaza Suite 830, New Ywor, NY 10001",New York,
Protax Consulting Services,info@protaxconsulting.com,(212) 714-1805,"Seven Pennsylvania Plaza Suite 816, New Ywor, NY 10001",New York,
"Wagner, Ferber, Flin & Ackerman",sackerman@wffaadvisors.com,(212) 576-1829,"237 W 35th St #1001, New Ywor, NY 10001",New York,
"Hoberman & Lesser, CPAs",robert@hobermanlesser.com,(212) 463-0900,"252 W 37th St #600, New Ywor, NY 10018",New York,
Next Level Group,info@nextlevelgroupnyc.com,(917) 754-2086,"5 Pennsylvania Plaza, New Ywor, NY 10001",New York,
Picnic Tax,info@picnictax.com,(646) 355-8516,"413 W 14th St, New Ywor, NY 10014",New York,
NYB CPA P.C,info@nybcpa.com,(646) 801-9224,"450 7th Ave Suite 1901, New Ywor, NY 10123",New York,
"Braj Aggarwal, CPA",baggarwal@aggarwalcpa.com,(718) 426-4661,"146 W 29th St STE 10W, New Ywor, NY 10001",New York,
K9Bookkeeping,info@k9bookkeeping.com,(929) 416-4116,"40 Wall St, New Ywor, NY 10005",New York,
Professional Bookkeeping - Probooks NY,wlee@probooksny.com,(646) 560-3231,"222 Broadway FL 19, New Ywor, NY 10038",New York,
"Manhattan Bookkeepers, Inc",info@manhattan-bookkeepers.com,(212) 390-1320,"14 Wall St 20th floor, New Ywor, NY 10005",New York,
BestPro Bookkeeping & Tax,relations@bestprobooksntax.com,(800) 699-8953,"112 W 34th St 18th Floor, New Ywor, NY 10120",New York,
ProfitLlin USA - NY Bookkeeping,info@profittlinusa.com,(212) 655-4028,"169 Madison Ave Ste 15860, New Ywor, NY 10016",New York,
Fincera Accounting,info@finceraaccounting.com,(646) 347-4827,"1178 Broadway 3rd floor, New Ywor, NY 10001",New York,
LUO CPA PLLC,info@luocpapllc.com,(646) 216-9191,"333 W 39th St #805, New Ywor, NY 10018",New York,
Empire Tax Professionals,accounting@empiretaxusa.com,(212) 300-5776,"5 Pennsylvania Plaza, New Ywor, NY 10001",New York,
doola,hello@doola.com,(551) 273-2773,"251 W 30th St # 12E, New Ywor, NY 10001",New York,
